place_guess,latitude,longitude,positional_accuracy,place_town_name,place_county_name,place_state_name,species_guess,scientific_name
"712 N Kent St, Winchester, VA 22601, USA",39.1951599121,-78.1568527222,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"396 Tyson Dr, Winchester, VA, US",39.2188248178,-78.1551472285,5,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"291 Fortress Dr, Winchester, VA, US",39.2112083333,-78.1623695,165,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Stonewall, VA, USA",39.2016639709,-78.153678894,,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"132 Paw Paw Ct, Winchester, VA, US",39.2015216667,-78.1675116667,8,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.2026666667,-78.1650695,32,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"220 Park Center Dr, Winchester, VA, US",39.20928902,-78.1467402634,10,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"801 N Kent St, Winchester, VA, US",39.1960666667,-78.1571195,1414,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"22603, Winchester, VA, US",39.2000383333,-78.16565,12,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"22603, Winchester, VA, US",39.1997133333,-78.1657195,32,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Richards Ave, Winchester, VA, US",39.1983390579,-78.1602742241,54,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Third Battle of Winchester Trail, Winchester, Virginia",39.19205,-78.133058,51,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Third Battle of Winchester Trail, Winchester, Virginia",39.192006,-78.133,51,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
third winchester battlefield park,39.2101677,-78.1272321,210,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"S Washington St, Winchester, VA, US",39.180811001,-78.1697409601,10,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Stonewall, VA, USA",39.2024902855,-78.1752076373,1052,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Loudoun St, Winchester, VA, US",39.184345,-78.1653445,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"W North Ave, Winchester, VA, US",39.19087167,-78.16545833,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Cork St, Winchester, VA, US",39.1823240538,-78.1676404018,65,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"N Frederick Pike, Winchester, VA, US",39.205534261,-78.1669967142,97,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"Northumberland Dr, Stephenson, VA, US",39.221451429,-78.0929102843,22,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
"W Cork St, Winchester, VA, US",39.1822754085,-78.1672376078,37,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Winchester, VA 22601, USA",39.1902236936,-78.1872558592,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Martinsburg Pike, Winchester, VA, US",39.215875,-78.14341117,13,,Frederick,Virginia,Spotted Lanternfly,Lycorma delicatula
Winchester,39.18621167,-78.17931333,,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
"Parkway St, Winchester, VA, US",39.1759980703,-78.1611841266,10,,Winchester,Virginia,Spotted Lanternfly,Lycorma delicatula
