id,time_observed_at,time_zone,updated_at,quality_grade,license,place_guess,latitude,longitude
7479983,2017-08-13 19:23:33 UTC,Eastern Time (US & Canada),2022-10-06 21:53:30 UTC,research,,"711 Double Creek Rd, Chestertown, MD, US",39.23574668,-75.97039784
33593938,2019-09-29 15:33:02 UTC,Eastern Time (US & Canada),2020-08-05 20:21:40 UTC,research,,"Biggs Hwy, North East, MD, US",39.64163709,-75.95923902
34430920,,UTC,2020-08-05 20:21:44 UTC,research,,"4, Fair Hill, MD 21921, USA",39.70193852,-75.82227565
34832636,2019-10-24 16:21:08 UTC,Eastern Time (US & Canada),2023-11-22 02:57:56 UTC,research,CC-BY-NC,"Conowingo Rd, Rising Sun, MD, US",39.70390711,-76.10027523
48448436,2020-06-04 16:39:13 UTC,Eastern Time (US & Canada),2020-08-05 20:21:54 UTC,research,CC-BY-NC,Port Deposit,39.63556524,-76.03103654
49365105,2020-06-12 20:14:37 UTC,Eastern Time (US & Canada),2020-08-05 20:21:58 UTC,research,CC-BY-NC,"Harrington Rd, Rising Sun, MD, US",39.66142,-76.04071117
49864217,2020-06-16 18:31:48 UTC,Eastern Time (US & Canada),2020-08-05 20:22:02 UTC,research,CC-BY-NC,Elkton,39.70964037,-75.87947124
49969578,2020-06-17 18:38:12 UTC,Eastern Time (US & Canada),2020-08-05 20:22:05 UTC,research,CC-BY-NC,"Elkton, MD, US",39.71067653,-75.90356518
50097769,2020-06-18 21:52:41 UTC,Eastern Time (US & Canada),2023-12-08 03:21:01 UTC,research,,"Little Egypt Rd, Elkton, MD, US",39.70691591,-75.80429337
50663004,2020-06-23 13:37:28 UTC,Eastern Time (US & Canada),2020-08-05 20:22:13 UTC,research,CC-BY-NC,"Cecil County, US-MD, US",39.70611212,-75.89449019
50670904,2020-06-23 15:09:59 UTC,Eastern Time (US & Canada),2020-08-05 20:22:18 UTC,research,CC-BY-NC,Elkton,39.7,-75.89
50685453,2020-06-23 17:29:53 UTC,Eastern Time (US & Canada),2020-08-05 20:21:34 UTC,research,CC-BY-NC,"Cecil County, US-MD, US",39.70753076,-75.89201535
50978896,2020-06-26 12:23:52 UTC,Eastern Time (US & Canada),2020-08-05 20:21:30 UTC,research,CC-BY-NC,"Montgomery Rd, Rising Sun, MD, US",39.68173406,-76.04841995
51473795,2020-06-30 14:45:59 UTC,Eastern Time (US & Canada),2021-05-07 19:55:16 UTC,research,CC-BY-NC,"Cecil County, US-MD, US",39.70539266,-75.87297477
51578373,2020-07-01 13:47:20 UTC,Eastern Time (US & Canada),2020-08-05 20:21:21 UTC,research,CC-BY-NC,North East,39.697028,-75.942511
51696688,2020-07-02 15:08:53 UTC,Eastern Time (US & Canada),2023-10-17 12:33:14 UTC,research,CC-BY-NC,Elkton,39.7,-75.88
52153701,2020-07-06 15:18:20 UTC,Eastern Time (US & Canada),2020-08-05 20:21:07 UTC,research,CC-BY-NC,North East,39.702443,-75.946738
52154695,2020-07-06 15:23:18 UTC,Eastern Time (US & Canada),2020-08-05 20:21:02 UTC,research,,"Elkton, MD 21921, USA",39.61741111,-75.82813611
55436118,2020-08-05 01:26:00 UTC,Eastern Time (US & Canada),2021-05-07 19:55:11 UTC,research,CC-BY-NC,"Elkton, MD 21921, USA",39.55838001,-75.89276581
55493110,2020-08-05 14:42:03 UTC,Eastern Time (US & Canada),2020-08-10 17:32:42 UTC,research,CC-BY-NC,Elkton,39.7,-75.87
55527611,2020-08-05 20:02:17 UTC,Eastern Time (US & Canada),2024-08-10 17:32:29 UTC,research,CC-BY-NC,"9, Calvert, MD, USA",39.66504197,-75.95517997
56340739,2020-08-13 17:59:35 UTC,Eastern Time (US & Canada),2024-02-25 02:45:01 UTC,research,CC-BY-NC,"Bridle Path Way, Rising Sun, MD, US",39.7185443,-76.06181418
56944524,2020-08-19 14:07:22 UTC,Eastern Time (US & Canada),2021-05-07 19:55:05 UTC,research,CC-BY-NC,"Elkton, MD, US",39.70216667,-75.82795833
59058154,2020-09-09 16:36:36 UTC,Eastern Time (US & Canada),2023-10-27 12:18:04 UTC,research,,Doubs Woods Park,39.61743889,-77.73447812
59094216,2020-09-10 00:43:00 UTC,Eastern Time (US & Canada),2021-06-03 17:04:46 UTC,research,CC-BY-NC,"Whiteford, MD, USA",39.70996404,-76.34729393
59250200,2020-09-11 14:15:00 UTC,Eastern Time (US & Canada),2021-05-07 19:55:02 UTC,research,CC-BY-NC,"Cecil County, MD, USA",39.54424914,-76.05711258
59461259,2020-09-13 16:34:03 UTC,Eastern Time (US & Canada),2021-05-07 19:55:01 UTC,research,,"Red Fox Dr, Elkton, MD, US",39.71683352,-75.87572492
59482647,,UTC,2023-12-21 17:55:00 UTC,research,,United States,39.70106632,-75.68383517
59585352,2020-09-14 16:13:29 UTC,Eastern Time (US & Canada),2021-05-07 19:54:52 UTC,research,CC-BY-NC,"Susquehanna State Park, Havre De Grace, MD, US",39.60544148,-76.15232323
