id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
249114,2013-04-27,38.470946,-76.481561,370.0,Calvert,Maryland,United States,tree-of-heaven
338006,2013-06-29,38.800735,-76.692595,268.0,Anne Arundel,Maryland,United States,tree-of-heaven
829009,2014-08-11,39.3012506,-76.61986256,6.0,"Baltimore City, MD",Maryland,United States,tree of heaven
838305,2014-08-19,39.29712,-76.817175,65.0,Howard,Maryland,United States,tree of heaven
879524,2014-09-16,39.225943,-76.744682,189.0,Howard,Maryland,United States,tree of heaven
920511,2014-10-09,39.140779,-76.844473,63.0,Howard,Maryland,United States,Tree of Heaven
1027771,2014-10-20,39.302129,-76.945715,65.0,Howard,Maryland,United States,Tree of Heaven
1511772,2015-05-19,39.227721,-76.744843,5.0,Howard,Maryland,United States,Tree of Heaven
1772339,2015-07-17,39.309832,-76.610288,10.0,"Baltimore City, MD",Maryland,United States,Tree of Heaven
1928357,2015-09-08,39.41808731,-76.62258317,9.0,Baltimore,Maryland,United States,Tree of Heaven
2309587,2015-10-25,39.21852,-76.760977,10.0,Howard,Maryland,United States,Tree of heaven
3186839,2016-05-16,39.2266589217,-76.7446519621,5.0,Howard,Maryland,United States,Tree of heaven
3225387,2016-05-20,38.6947809993,-77.0688478698,5.0,Prince George's,Maryland,United States,Tree of Heaven
3248126,2016-05-21,39.60235683,-77.82894371,29.0,Washington,Maryland,United States,Tree of heaven
3255445,2016-05-21,39.052044265,-77.2866378073,5.0,Montgomery,Maryland,United States,Tree of Heaven
3314426,2016-05-27,39.42117846,-76.98741129,10.0,Carroll,Maryland,United States,Tree of heaven
3461710,2016-06-15,39.7025748,-75.8557669,2111.0,Cecil,Maryland,United States,Tree of Heaven
3769643,2016-07-30,39.18552871,-76.85034176,10.0,Howard,Maryland,United States,Tree of Heaven
4142179,2016-09-18,39.0321056033,-76.7241484021,5.0,Anne Arundel,Maryland,United States,Tree of heaven
4286985,2016-09-18,39.3121705808,-76.6160478092,52.0,"Baltimore City, MD",Maryland,United States,Tree of Heaven
5110275,2016-08-29,39.5751963448,-76.6160774231,475.0,Baltimore,Maryland,United States,Tree of Heaven
5936866,2017-04-24,39.0136241354,-77.0303684101,5.0,Montgomery,Maryland,United States,tree of heaven
6258002,2017-05-17,39.2284937622,-76.743381098,5.0,Howard,Maryland,United States,Tree of heaven
6371434,2017-05-26,39.3603771413,-77.3906596564,5.0,Frederick,Maryland,United States,Ailante glanduleux
6865929,2017-06-13,39.0949806194,-76.7392959146,10.0,Anne Arundel,Maryland,United States,tree of heaven
6874314,2017-07-01,39.1461552261,-76.7312845868,5.0,Anne Arundel,Maryland,United States,tree-of-heaven
6874498,2017-07-01,39.146152502,-76.7315073778,5.0,Anne Arundel,Maryland,United States,Tree of heaven
7577624,2017-08-20,39.3169369642,-77.6321068314,10.0,Frederick,Maryland,United States,tree of heaven
8067262,2017-09-23,38.9334467,-76.9379571,432.0,Prince George's,Maryland,United States,tree of heaven
8208802,2017-10-01,39.1286875494,-76.7279657722,5.0,Anne Arundel,Maryland,United States,Tree of heaven
8222146,2017-10-02,39.3153672433,-77.4287813903,10.0,Frederick,Maryland,United States,tree of heaven
8252315,2017-10-04,39.2285261583,-76.7434375082,5.0,Howard,Maryland,United States,tree of heaven
8677355,2017-11-04,39.2493980611,-77.437289944,5.0,Frederick,Maryland,United States,Tree of heaven
8677373,2017-11-04,39.2494658288,-77.4376013317,5.0,Frederick,Maryland,United States,tree-of-heaven
8677595,2017-11-04,39.2484293646,-77.4371409138,5.0,Frederick,Maryland,United States,tree of heaven
8678682,2017-11-04,39.2492366257,-77.4372407422,10.0,Frederick,Maryland,United States,tree of heaven
8680045,2017-11-04,39.2498392426,-77.4382350036,5.0,Frederick,Maryland,United States,tree of heaven
8680597,2017-11-04,39.2495163717,-77.4366281927,5.0,Frederick,Maryland,United States,Tree of heaven
8680856,2017-11-04,39.250393428,-77.4392331832,200.0,Frederick,Maryland,United States,tree of heaven
8681073,2017-11-04,39.2491997034,-77.4371113256,10.0,Frederick,Maryland,United States,tree of heaven
8681103,2017-11-04,39.2495000728,-77.4374256966,6.0,Frederick,Maryland,United States,Tree of heaven
8681230,2017-11-04,39.24943469,-77.4374149182,5.0,Frederick,Maryland,United States,Tree of heaven
8681337,2017-11-04,39.2497360871,-77.4376042386,6.0,Frederick,Maryland,United States,Tree of heaven
8681910,2017-11-04,39.25097295,-77.43561917,6.0,Frederick,Maryland,United States,Tree of heaven
8682162,2017-11-04,39.2534497,-77.4474287,1500.0,Frederick,Maryland,United States,tree of heaven
8682644,2017-11-04,39.2501130615,-77.4377854524,3.0,Frederick,Maryland,United States,Tree of heaven
8683100,2017-11-04,39.24808488,-77.43757032,12.0,Frederick,Maryland,United States,Tree of heaven
8723755,2017-11-04,39.2508952786,-77.4376695604,5.0,Frederick,Maryland,United States,tree-of-heaven
8855747,2017-11-11,39.5979507408,-76.1284947395,143.0,Harford,Maryland,United States,tree of heaven
