id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
362148,2013-08-10,39.008258,-78.332503,5.0,Shenandoah,Virginia,United States,tree-of-heaven
369807,2013-08-17,37.274783,-80.043192,5.0,Salem,Virginia,United States,tree-of-heaven
824955,2014-08-08,38.686746,-77.786604,32.0,Fauquier,Virginia,United States,tree-of-heaven
851020,2014-08-27,37.414653,-78.452661,75.0,Buckingham,Virginia,United States,tree-of-heaven
1580086,2015-06-01,37.530817,-77.469495,1720.0,Richmond city,Virginia,United States,tree-of-heaven
1620890,2015-06-09,37.644963,-77.308297,1260.0,Hanover,Virginia,United States,tree-of-heaven
1668808,2015-06-22,37.432325,-79.334735,296.0,Bedford,Virginia,United States,tree-of-heaven
1902127,2015-08-29,37.39440325,-78.48387765,10.0,Buckingham,Virginia,United States,tree-of-heaven
2093639,2015-10-07,39.061478,-78.058833,5.0,Clarke,Virginia,United States,tree-of-heaven
2138874,2015-10-16,37.310167,-78.374965,5.0,Cumberland,Virginia,United States,tree-of-heaven
2637452,2016-01-31,37.53051,-77.451162,61.0,Richmond city,Virginia,United States,tree-of-heaven
2936974,2016-04-13,37.527358,-77.455566,105.0,Richmond city,Virginia,United States,tree-of-heaven
3221776,2016-05-20,36.87351,-80.297999,212.0,Floyd,Virginia,United States,tree-of-heaven
3232692,2016-05-20,38.905588,-77.09305,103.0,Arlington,Virginia,United States,tree-of-heaven
3280571,2016-05-20,38.9047456964,-77.0926945657,1032.0,Arlington,Virginia,United States,tree-of-heaven
3312410,2016-05-21,38.9651588668,-77.1555125981,234.0,Fairfax,Virginia,United States,tree-of-heaven
3887470,2016-08-14,38.4077852453,-78.8594680746,5.0,Rockingham,Virginia,United States,tree-of-heaven
4129760,2016-09-17,37.5741922763,-77.2915715632,5.0,Hanover,Virginia,United States,tree-of-heaven
4244723,2016-10-01,37.6599186939,-77.3471263983,5.0,Hanover,Virginia,United States,tree-of-heaven
4252916,2016-10-01,37.6595734754,-77.3476016521,8.0,Hanover,Virginia,United States,tree-of-heaven
4457834,2016-10-29,38.77098454,-78.81411787,7.0,Shenandoah,Virginia,United States,tree-of-heaven
4936704,2017-01-12,37.5300454209,-77.4538619724,10.0,Richmond city,Virginia,United States,tree-of-heaven
5426490,2017-03-22,37.4485493755,-77.6403710101,65.0,Chesterfield,Virginia,United States,tree-of-heaven
5766953,2017-04-16,38.923191363,-78.0025819224,5.0,Fauquier,Virginia,United States,tree-of-heaven
5986312,2017-04-27,37.8449548642,-78.8224100043,5.0,Nelson,Virginia,United States,tree-of-heaven
6090863,2017-05-04,37.4485681994,-77.6404012519,65.0,Chesterfield,Virginia,United States,tree-of-heaven
6287911,2017-05-20,38.8487643795,-77.1047532745,10.0,Arlington,Virginia,United States,tree-of-heaven
6295778,2017-05-20,38.8637922231,-77.0404234531,15.0,Arlington,Virginia,United States,tree-of-heaven
6388536,2017-05-27,38.9295634477,-77.11646229,1032.0,Arlington,Virginia,United States,tree-of-heaven
6498497,2017-06-03,37.529944406,-77.4515533447,61.0,Richmond city,Virginia,United States,tree-of-heaven
6606158,2017-06-12,38.6078620042,-77.28428932,64.0,Prince William,Virginia,United States,tree-of-heaven
6703504,2017-06-16,37.5414785883,-77.4457984139,5.0,Richmond city,Virginia,United States,tree-of-heaven
6706029,2017-06-16,37.5405827724,-77.4445034099,10.0,Richmond city,Virginia,United States,tree-of-heaven
6954428,2017-07-07,37.2772808327,-80.110978419,5.0,Roanoke,Virginia,United States,tree-of-heaven
7005777,2017-07-09,37.6294228155,-77.5246743857,4.0,Henrico,Virginia,United States,tree-of-heaven
7534964,2017-08-17,38.9259849492,-77.382370925,65.0,Fairfax,Virginia,United States,tree-of-heaven
8041811,2017-09-22,37.232784913,-77.3955350742,5.0,Petersburg,Virginia,United States,tree-of-heaven
8312674,2017-10-08,36.7969317315,-78.526925454,10.0,Mecklenburg,Virginia,United States,tree-of-heaven
8618234,2017-10-30,38.308863,-77.467072,26.0,Fredericksburg,Virginia,United States,tree-of-heaven
8665385,2017-11-03,37.5445123343,-77.4522325304,5.0,Richmond city,Virginia,United States,tree-of-heaven
9047271,2017-06-25,36.88233,-81.364425,5.0,Smyth,Virginia,United States,tree-of-heaven
9936019,2018-02-20,38.7824089593,-77.8024331388,5.0,Fauquier,Virginia,United States,tree-of-heaven
11368445,2018-04-21,37.309034199,-78.4028631449,8.0,Prince Edward,Virginia,United States,tree-of-heaven
11520410,2018-04-27,38.7834883333,-77.0706555,5.0,Fairfax,Virginia,United States,tree-of-heaven
11520872,2018-04-27,38.6060611345,-77.2799218074,5.0,Prince William,Virginia,United States,tree-of-heaven
11777051,2018-04-29,37.5201955112,-77.4717730098,5.0,Richmond city,Virginia,United States,tree-of-heaven
11800338,2018-04-29,38.8566560205,-77.1226243194,357.0,Arlington,Virginia,United States,tree-of-heaven
11827031,2018-04-28,38.88307965,-77.12489202,9.0,Arlington,Virginia,United States,tree-of-heaven
11886004,2018-04-30,38.90006896,-77.15817123,9.0,Arlington,Virginia,United States,tree-of-heaven
11932192,2018-04-30,38.8792250861,-77.0938845499,16.0,Arlington,Virginia,United States,tree-of-heaven
11987295,2018-04-30,38.8053777778,-77.1036,10.0,Alexandria,Virginia,United States,tree-of-heaven
12320959,2018-05-10,38.0148528144,-77.9222757463,10.0,Louisa,Virginia,United States,tree-of-heaven
12648031,2018-05-20,37.55545629,-77.36059393,7.0,Henrico,Virginia,United States,tree-of-heaven
12690560,2018-05-21,37.5476679951,-77.462713346,5.0,Richmond city,Virginia,United States,tree-of-heaven
12743128,2018-05-23,38.88838166,-78.16428325,9.0,Warren,Virginia,United States,tree-of-heaven
12802231,2018-05-25,38.85622864,-77.06823302,4.0,Arlington,Virginia,United States,tree-of-heaven
12806202,2018-05-25,38.86612338,-77.06292398,4.0,Arlington,Virginia,United States,tree-of-heaven
