id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,species_guess
17570875,2018-10-16,39.2188248178,-78.1551472285,5.0,Frederick,Virginia,Spotted Lanternfly
29787342,2019-07-29,39.2112083333,-78.1623695,165.0,Frederick,Virginia,Spotted Lanternfly
30316398,2019-08-06,39.2015216667,-78.1675116667,8.0,Frederick,Virginia,Spotted Lanternfly
30324049,2019-08-06,39.2026666667,-78.1650695,32.0,Frederick,Virginia,Spotted Lanternfly
30376970,2019-08-07,39.20928902,-78.1467402634,10.0,Frederick,Virginia,Spotted Lanternfly
30492869,2019-08-09,39.1960666667,-78.1571195,1414.0,Winchester,Virginia,Spotted Lanternfly
30504903,2019-08-09,39.2000383333,-78.16565,12.0,Frederick,Virginia,Spotted Lanternfly
30504919,2019-08-09,39.1997133333,-78.1657195,32.0,Frederick,Virginia,Spotted Lanternfly
33277155,2019-09-23,39.1983390579,-78.1602742241,54.0,Winchester,Virginia,Spotted Lanternfly
33287945,2019-08-20,39.19205,-78.133058,51.0,Frederick,Virginia,Spotted Lanternfly
33288070,2019-08-20,39.192006,-78.133,51.0,Frederick,Virginia,Spotted Lanternfly
51379154,2020-06-28,39.2101677,-78.1272321,210.0,Frederick,Virginia,Spotted Lanternfly
51408021,2020-06-29,39.180811001,-78.1697409601,10.0,Winchester,Virginia,Spotted Lanternfly
52696656,2020-07-10,39.2024902855,-78.1752076373,1052.0,Frederick,Virginia,Spotted Lanternfly
54836261,2020-07-30,39.184345,-78.1653445,65.0,Winchester,Virginia,Spotted Lanternfly
54994591,2020-07-31,39.19087167,-78.16545833,65.0,Winchester,Virginia,Spotted Lanternfly
55083606,2020-08-01,39.1823240538,-78.1676404018,65.0,Winchester,Virginia,Spotted Lanternfly
55235018,2020-08-02,39.205534261,-78.1669967142,97.0,Frederick,Virginia,Spotted Lanternfly
55964520,2020-08-09,39.221451429,-78.0929102843,22.0,Frederick,Virginia,Spotted Lanternfly
57919897,2020-08-29,39.1822754085,-78.1672376078,37.0,Winchester,Virginia,Spotted Lanternfly
58670914,2020-09-05,39.215875,-78.14341117,13.0,Frederick,Virginia,Spotted Lanternfly
59448252,2020-09-13,39.1759980703,-78.1611841266,10.0,Winchester,Virginia,Spotted Lanternfly
59990279,2020-09-18,39.176041624,-78.1911529803,13.0,Winchester,Virginia,Spotted Lanternfly
60068705,2020-09-19,39.1603715354,-78.1439717002,65.0,Frederick,Virginia,Spotted Lanternfly
60215806,2020-09-20,39.1654355595,-78.1527132682,24.0,Frederick,Virginia,Spotted Lanternfly
60343458,2020-09-21,39.1686854046,-78.135294607,5.0,Frederick,Virginia,Spotted Lanternfly
60433889,2020-09-22,39.1791149706,-78.1772989005,12.0,Winchester,Virginia,Spotted Lanternfly
62552685,2020-10-14,39.2043083333,-78.165375,10.0,Frederick,Virginia,Spotted Lanternfly
63065616,2020-10-18,39.1143473979,-78.1699997051,1255.0,Frederick,Virginia,Spotted Lanternfly
63327028,2020-10-23,39.1850384807,-78.1693858567,41.0,Winchester,Virginia,Spotted Lanternfly
64414289,2020-11-07,39.216106399,-78.1441072562,5.0,Frederick,Virginia,Spotted Lanternfly
81025372,2021-05-31,39.1788333333,-78.1664195,36.0,Winchester,Virginia,Spotted Lanternfly
81035815,2021-05-31,39.17990811,-78.14863092,8.0,Winchester,Virginia,Spotted Lanternfly
81036269,2021-05-31,39.17992351,-78.14863228,3.0,Winchester,Virginia,Spotted Lanternfly
82451482,2021-06-10,39.18227,-78.1317361667,50.0,Frederick,Virginia,Spotted Lanternfly
82684988,2021-06-12,39.168675,-78.1887583333,13.0,Winchester,Virginia,Spotted Lanternfly
83567085,2021-06-18,39.1840283333,-78.1457971667,14.0,Winchester,Virginia,Spotted Lanternfly
83772605,2021-06-18,39.1843333333,-78.1457666667,6.0,Winchester,Virginia,Spotted Lanternfly
83772609,2021-06-18,39.1843611117,-78.1457277783,5.0,Winchester,Virginia,Spotted Lanternfly
83780575,2021-06-20,39.1680944385,-78.1794447732,5.0,Winchester,Virginia,Spotted Lanternfly
83848235,2021-06-20,39.2007462245,-78.129519933,15.0,Frederick,Virginia,Spotted Lanternfly
83848880,2021-06-20,39.2039711936,-78.1737475097,26.0,Frederick,Virginia,Spotted Lanternfly
84919902,2021-06-28,39.1871043134,-78.1675907266,24.0,Winchester,Virginia,Spotted Lanternfly
85271247,2021-07-01,39.2072666667,-78.1639555,4.0,Frederick,Virginia,Spotted Lanternfly
85376509,2021-06-16,39.1917200269,-78.1795850024,37.0,Winchester,Virginia,Spotted Lanternfly
85495021,2021-07-03,39.18216614,-78.16726165,9.0,Winchester,Virginia,Spotted Lanternfly
85665909,2021-07-04,39.18657796,-78.1663951558,25.0,Winchester,Virginia,Spotted Lanternfly
85918871,2021-07-03,39.1644971667,-78.18982,24.0,Winchester,Virginia,Spotted Lanternfly
85921241,2021-07-06,39.1985173223,-78.1882813154,92.0,Winchester,Virginia,Spotted Lanternfly
86340791,2021-07-09,39.1879533333,-78.19995,4.0,Frederick,Virginia,Spotted Lanternfly
86347475,2021-07-09,39.2038459778,-78.1718444824,65.0,Frederick,Virginia,Spotted Lanternfly
86484592,2021-07-10,39.1820366667,-78.1662305,6.0,Winchester,Virginia,Spotted Lanternfly
86979907,2021-07-13,39.3085966667,-78.327295,3.0,Frederick,Virginia,Spotted Lanternfly
87217608,2021-07-15,38.0426732231,-78.4059009275,9.0,Albemarle,Virginia,Spotted Lanternfly
87585229,2021-07-18,39.1414846215,-78.242977293,37.0,Frederick,Virginia,Spotted Lanternfly
